# Start time:    2026-07-23, 13:12:54
# Real time (s): 2100.000
# Live time (s): 2100.000
# Reactor power (MW): 1.000000
# Number of channels: 2048
# Channel width (usec): 2.000000
# Dead time (usec): 26.000000
# Number of frames: 419868
# Path length (cm): 191.500000
#
# Total counts:  4111325
# Chan. numb.	Numb. of counts
#-----------------------------------------------------------------------
1	0
2	0
3	1744
4	1753
5	1681
6	1745
7	1783
8	1737
9	1733
10	1797
11	1760
12	1740
13	1782
14	1749
15	1709
16	1784
17	1625
18	1856
19	1788
20	1807
21	1677
22	1803
23	1761
24	1739
25	1752
26	1716
27	1685
28	1741
29	1788
30	1726
31	1706
32	1699
33	1672
34	1753
35	1714
36	1707
37	1819
38	1799
39	1747
40	1814
41	1809
42	1736
43	1771
44	1770
45	1736
46	1714
47	1742
48	1852
49	1779
50	1770
51	1725
52	1844
53	1668
54	1734
55	1737
56	1750
57	1799
58	1825
59	1697
60	1813
61	1754
62	1792
63	1783
64	1751
65	1790
66	1781
67	1725
68	1759
69	1757
70	1806
71	1782
72	1775
73	1768
74	1816
75	1834
76	1736
77	1824
78	1761
79	1722
80	1747
81	1803
82	1769
83	1711
84	1777
85	1776
86	1730
87	1793
88	1733
89	1771
90	1809
91	1742
92	1694
93	1778
94	1742
95	1688
96	1823
97	1801
98	1705
99	1783
100	1742
101	1780
102	1766
103	1745
104	1713
105	1821
106	1732
107	1747
108	1821
109	1885
110	1741
111	1702
112	1743
113	1762
114	1792
115	1749
116	1871
117	1769
118	1750
119	1696
120	1787
121	1805
122	1764
123	1870
124	1772
125	1778
126	1793
127	1852
128	1765
129	1765
130	1777
131	1779
132	1763
133	1816
134	1721
135	1757
136	1799
137	1705
138	1812
139	1743
140	1642
141	1709
142	1797
143	1769
144	1792
145	1820
146	1792
147	1821
148	1773
149	1731
150	1803
151	1794
152	1799
153	1819
154	1782
155	1813
156	1783
157	1738
158	1810
159	1768
160	1752
161	1802
162	1769
163	1776
164	1791
165	1746
166	1794
167	1840
168	1831
169	1838
170	1819
171	1791
172	1812
173	1887
174	1790
175	1814
176	1812
177	1742
178	1909
179	1880
180	1790
181	1926
182	1824
183	1793
184	1851
185	1876
186	1773
187	1736
188	1881
189	1863
190	1872
191	1854
