# Start time:    2026-07-23, 12:28:32
# Real time (s): 2100.000
# Live time (s): 2100.000
# Reactor power (MW): 1.000000
# Number of channels: 2048
# Channel width (usec): 2.000000
# Dead time (usec): 26.000000
# Number of frames: 420497
# Path length (cm): 191.500000
#
# Total counts:  2915245
# Chan. numb.	Numb. of counts
#-----------------------------------------------------------------------
1	0
2	0
3	1232
4	1207
5	1233
6	1205
7	1236
8	1216
9	1267
10	1180
11	1201
12	1222
13	1217
14	1290
15	1312
16	1137
17	1256
18	1172
19	1226
20	1180
21	1210
22	1256
23	1253
24	1194
25	1180
26	1161
27	1301
28	1215
29	1256
30	1181
31	1151
32	1296
33	1193
34	1183
35	1236
36	1270
37	1179
38	1224
39	1242
40	1261
41	1181
42	1188
43	1207
44	1249
45	1182
46	1262
47	1249
48	1245
49	1250
50	1216
51	1200
52	1218
53	1257
54	1173
55	1206
56	1284
57	1219
58	1258
59	1219
60	1230
61	1226
62	1245
63	1188
64	1203
65	1276
66	1173
67	1187
68	1199
69	1231
70	1178
71	1318
72	1211
73	1155
74	1194
75	1195
76	1169
77	1156
78	1169
79	1192
80	1244
81	1237
82	1170
83	1179
84	1222
85	1259
86	1194
87	1191
88	1214
89	1272
90	1232
91	1207
92	1239
93	1212
94	1198
95	1205
96	1177
97	1223
98	1235
99	1212
100	1190
101	1169
102	1181
103	1248
104	1266
105	1217
106	1205
107	1223
108	1263
109	1215
110	1171
111	1203
112	1202
113	1155
114	1158
115	1236
116	1216
117	1268
118	1210
119	1248
120	1272
121	1210
122	1267
123	1270
124	1201
125	1197
126	1171
127	1181
128	1187
129	1291
130	1180
131	1248
132	1210
133	1168
134	1272
135	1272
136	1230
137	1211
138	1223
139	1184
140	1217
141	1194
142	1219
143	1175
144	1204
145	1309
146	1248
147	1198
148	1182
149	1187
150	1291
151	1212
152	1210
153	1271
154	1172
155	1190
156	1125
157	1146
158	1140
159	1275
160	1252
161	1189
162	1210
163	1274
164	1227
165	1213
166	1220
167	1180
168	1267
169	1181
170	1250
171	1260
172	1145
173	1240
174	1192
175	1300
176	1195
177	1110
178	1153
179	1250
180	1233
181	1198
182	1171
183	1265
184	1261
185	1188
186	1195
187	1214
188	1161
189	1204
190	1177
191	1257
