# Start time:    2026-07-23, 13:52:20
# Real time (s): 2100.000
# Live time (s): 2100.000
# Reactor power (MW): 1.000000
# Number of channels: 2048
# Channel width (usec): 2.000000
# Dead time (usec): 26.000000
# Number of frames: 419463
# Path length (cm): 191.500000
#
# Total counts:  4055213
# Chan. numb.	Numb. of counts
#-----------------------------------------------------------------------
1	0
2	0
3	1738
4	1701
5	1695
6	1724
7	1749
8	1676
9	1770
10	1794
11	1767
12	1735
13	1710
14	1753
15	1768
16	1773
17	1771
18	1698
19	1683
20	1761
21	1767
22	1845
23	1795
24	1757
25	1685
26	1742
27	1746
28	1856
29	1751
30	1711
31	1704
32	1764
33	1721
34	1692
35	1719
36	1729
37	1770
38	1702
39	1704
40	1768
41	1688
42	1776
43	1701
44	1790
45	1803
46	1720
47	1763
48	1760
49	1787
50	1694
51	1790
52	1794
53	1733
54	1794
55	1738
56	1768
57	1723
58	1792
59	1751
60	1694
61	1786
62	1748
63	1807
64	1754
65	1776
66	1699
67	1737
68	1724
69	1771
70	1713
71	1669
72	1703
73	1687
74	1731
75	1693
76	1867
77	1762
78	1719
79	1756
80	1667
81	1777
82	1709
83	1709
84	1715
85	1824
86	1743
87	1729
88	1789
89	1726
90	1735
91	1778
92	1800
93	1724
94	1734
95	1778
96	1733
97	1784
98	1705
99	1751
100	1756
101	1728
102	1723
103	1769
104	1738
105	1754
106	1878
107	1760
108	1783
109	1721
110	1795
111	1744
112	1826
113	1740
114	1715
115	1738
116	1715
117	1770
118	1727
119	1682
120	1760
121	1717
122	1803
123	1798
124	1757
125	1775
126	1749
127	1698
128	1695
129	1729
130	1815
131	1739
132	1823
133	1718
134	1776
135	1812
136	1793
137	1766
138	1825
139	1688
140	1821
141	1736
142	1733
143	1779
144	1767
145	1747
146	1799
147	1771
148	1820
149	1766
150	1818
151	1787
152	1757
153	1735
154	1759
155	1826
156	1784
157	1752
158	1862
159	1717
160	1831
161	1742
162	1741
163	1854
164	1804
165	1768
166	1847
167	1724
168	1747
169	1786
170	1790
171	1770
172	1779
173	1837
174	1741
175	1757
176	1800
177	1735
178	1812
179	1781
180	1818
181	1753
182	1760
183	1845
184	1756
185	1855
186	1867
187	1815
188	1776
189	1857
190	1874
191	1843
