# Start time:    2026-07-27, 15:11:52
# Real time (s): 1500.000
# Live time (s): 1500.000
# Reactor power (MW): 1.000000
# Number of channels: 2048
# Channel width (usec): 2.000000
# Dead time (usec): 26.000000
# Number of frames: 300362
# Path length (cm): 191.500000
#
# Total counts:  1125478
# Chan. numb.	Numb. of counts
#-----------------------------------------------------------------------
1	0
2	0
3	364
4	415
5	396
6	396
7	394
8	396
9	392
10	435
11	422
12	398
13	398
14	397
15	377
16	402
17	397
18	405
19	384
20	411
21	425
22	385
23	396
24	426
25	373
26	383
27	368
28	381
29	383
30	405
31	370
32	362
33	440
34	415
35	401
36	429
37	421
38	408
39	402
40	413
41	380
42	384
43	392
44	414
45	439
46	407
47	371
48	385
49	435
50	400
51	394
52	353
53	419
54	375
55	417
56	389
57	404
58	367
59	417
60	401
61	386
62	385
63	424
64	382
65	407
66	399
67	413
68	386
69	382
70	411
71	410
72	392
73	380
74	402
75	393
76	369
77	402
78	378
79	384
80	404
81	364
82	410
83	399
84	386
85	377
86	397
87	389
88	407
89	408
90	406
91	370
92	414
93	381
94	408
95	366
96	383
97	398
98	422
99	419
100	369
101	389
102	392
103	395
104	396
105	401
106	404
107	408
108	387
109	381
110	425
111	435
112	443
113	398
114	388
115	372
116	390
117	433
118	412
119	379
120	398
121	387
122	401
123	414
124	407
125	413
126	418
127	433
128	374
129	378
130	402
131	416
132	404
133	364
134	403
135	403
136	421
137	391
138	406
139	402
140	416
141	385
142	414
143	403
144	409
145	427
146	393
147	395
148	388
149	408
150	398
151	427
152	419
153	390
154	389
155	392
156	383
157	442
158	398
159	437
160	388
161	401
162	387
163	408
164	387
165	349
166	397
167	390
168	412
169	402
170	385
171	415
172	363
173	424
174	381
175	423
176	421
177	400
178	393
179	427
180	389
181	390
182	385
183	384
184	414
185	401
186	404
187	386
188	398
189	404
190	361
191	389
192	371
193	380
194	380
195	436
196	394
197	403
198	386
199	377
200	402
201	375
202	425
203	406
204	393
205	397
206	396
207	420
208	387
209	430
210	409
211	390
212	400
213	404
214	405
215	404
216	402
217	415
218	392
219	404
220	379
221	427
222	412
223	405
224	422
225	382
226	394
227	384
228	433
229	378
230	395
231	375
232	418
233	406
234	382
235	391
236	410
237	429
238	365
