# Start time:    2026-07-27, 10:33:42
# Real time (s): 1500.010
# Live time (s): 1500.000
# Reactor power (MW): 1.000000
# Number of channels: 2048
# Channel width (usec): 2.000000
# Dead time (usec): 26.000000
# Number of frames: 297368
# Path length (cm): 191.500000
#
# Total counts:  997738
# Chan. numb.	Numb. of counts
#-----------------------------------------------------------------------
1	0
2	0
3	348
4	318
5	340
6	350
7	331
8	328
9	352
10	353
11	329
12	340
13	354
14	330
15	350
16	339
17	326
18	346
19	319
20	364
21	331
22	345
23	344
24	336
25	309
26	358
27	323
28	338
29	335
30	328
31	311
32	349
33	334
34	343
35	327
36	355
37	361
38	315
39	347
40	334
41	344
42	310
43	344
44	342
45	306
46	331
47	336
48	321
49	342
50	344
51	342
52	319
53	355
54	352
55	331
56	331
57	360
58	333
59	354
60	341
61	309
62	360
63	369
64	339
65	372
66	332
67	322
68	352
69	334
70	322
71	325
72	354
73	328
74	315
75	329
76	313
77	383
78	340
79	341
80	322
81	332
82	315
83	379
84	379
85	338
86	333
87	329
88	335
89	323
90	334
91	339
92	309
93	331
94	361
95	361
96	333
97	338
98	344
99	322
100	369
101	347
102	352
103	333
104	327
105	357
106	343
107	334
108	354
109	335
110	335
111	346
112	320
113	328
114	324
115	330
116	324
117	293
118	346
119	341
120	333
121	344
122	346
123	330
124	344
125	337
126	329
127	317
128	325
129	338
130	321
131	338
132	304
133	369
134	319
135	362
136	365
137	318
138	355
139	344
140	368
141	397
142	349
143	310
144	370
145	317
146	310
147	351
148	350
149	320
150	327
151	336
152	367
153	352
154	349
155	326
156	341
157	308
158	375
159	351
160	355
161	354
162	365
163	327
164	334
165	338
166	329
167	356
168	316
169	332
170	357
171	296
172	347
173	331
174	311
175	333
176	350
177	306
178	360
179	358
180	339
181	347
182	351
183	353
184	313
185	318
186	363
187	316
188	325
189	333
190	362
191	341
192	343
193	358
194	333
195	308
196	334
197	368
198	330
199	370
200	366
201	317
202	335
203	304
204	336
205	326
206	305
207	330
208	326
209	337
210	340
211	343
212	335
213	309
214	347
215	324
216	333
217	342
218	358
219	347
220	319
221	327
222	319
223	330
224	352
225	323
226	329
227	319
228	336
229	351
230	315
231	293
232	360
233	318
234	323
235	330
236	383
237	329
238	337
