# Start time:    2026-06-30, 10:27:12
# Real time (s): 7200.000
# Live time (s): 7200.000
# Reactor power (MW): 1.000000
# Number of channels: 2048
# Channel width (usec): 2.000000
# Dead time (usec): 26.000000
# Number of frames: 961043
# Path length (cm): 191.000000
#
# Total counts:  13036933
# Chan. numb.	Numb. of counts
#-----------------------------------------------------------------------
1	0
2	0
3	5246
4	5210
5	5170
6	5394
7	5299
8	5162
9	5325
10	5184
11	5133
12	5197
13	5177
14	5307
15	5320
16	5279
17	5206
18	5228
19	5187
20	5299
21	5363
22	5329
23	5300
24	5205
25	5315
26	5348
27	5221
28	5279
29	5350
30	5277
31	5327
32	5264
33	5265
34	5167
35	5390
36	5313
37	5014
38	5218
39	5186
40	5219
41	5311
42	5422
43	5430
44	5109
45	5300
46	5259
47	5236
48	5304
49	5348
50	5298
51	5168
52	5263
53	5234
54	5326
55	5195
56	5186
57	5188
58	5185
59	5275
60	5285
61	5206
62	5344
63	5283
64	5326
65	5066
66	5276
67	5176
68	5200
69	5376
70	5274
71	5249
72	5343
73	5363
74	5277
75	5231
76	5223
77	5398
78	5393
79	5376
80	5311
81	5302
82	5372
83	5356
84	5337
85	5364
86	5392
87	5203
88	5402
89	5379
90	5475
91	5356
92	5355
93	5348
94	5371
95	5379
96	5364
97	5460
98	5357
99	5273
100	5389
101	5311
102	5327
103	5273
104	5380
105	5418
106	5249
107	5584
108	5318
109	5350
110	5399
111	5444
112	5441
113	5391
114	5389
115	5461
116	5457
117	5521
118	5328
119	5460
120	5511
121	5399
122	5509
123	5401
124	5511
125	5446
126	5420
127	5539
128	5635
129	5464
130	5391
131	5665
132	5513
133	5653
134	5512
135	5493
136	5519
137	5513
138	5504
139	5655
140	5743
141	5639
142	5761
143	5617
144	5540
145	5718
146	5681
147	5693
148	5591
149	5564
150	5632
151	5646
152	5808
153	5834
154	5837
155	5770
156	6006
157	5697
158	5736
159	5777
160	5814
161	5927
162	5910
163	5768
164	6043
165	5891
166	6179
167	5955
168	6006
169	6184
170	6148
171	6109
172	6221
173	6162
174	6181
175	6275
176	6249
177	6385
178	6213
179	6417
180	6510
181	6412
182	6545
183	6463
184	6466
185	6539
186	6608
187	6530
188	6556
189	6715
190	6798
191	6720
