# Start time:    2026-06-30, 12:39:22
# Real time (s): 7200.000
# Live time (s): 7200.000
# Reactor power (MW): 1.000000
# Number of channels: 2048
# Channel width (usec): 2.000000
# Dead time (usec): 26.000000
# Number of frames: 964319
# Path length (cm): 191.000000
#
# Total counts:  15497084
# Chan. numb.	Numb. of counts
#-----------------------------------------------------------------------
1	0
2	0
3	6157
4	6143
5	6344
6	6310
7	6234
8	6242
9	6233
10	6254
11	6317
12	6327
13	6321
14	6260
15	6246
16	6408
17	6121
18	6207
19	6410
20	6234
21	6306
22	6081
23	6209
24	6250
25	6169
26	6318
27	6331
28	6334
29	6263
30	6211
31	6276
32	6219
33	6180
34	6358
35	6311
36	6260
37	6333
38	6349
39	6153
40	6129
41	6313
42	6279
43	6307
44	6186
45	6225
46	6267
47	6123
48	6428
49	6219
50	6350
51	6372
52	6267
53	6357
54	6263
55	6130
56	6243
57	6242
58	6177
59	6117
60	6278
61	6426
62	6127
63	6185
64	6254
65	6296
66	6280
67	6331
68	6212
69	6228
70	6374
71	6208
72	6217
73	6350
74	6410
75	6255
76	6260
77	6323
78	6186
79	6299
80	6303
81	6287
82	6345
83	6373
84	6205
85	6213
86	6418
87	6310
88	6189
89	6329
90	6235
91	6288
92	6234
93	6255
94	6404
95	6267
96	6347
97	6328
98	6312
99	6305
100	6262
101	6468
102	6460
103	6397
104	6357
105	6442
106	6304
107	6435
108	6392
109	6556
110	6414
111	6546
112	6381
113	6447
114	6455
115	6521
116	6605
117	6594
118	6496
119	6465
120	6494
121	6431
122	6550
123	6581
124	6519
125	6417
126	6542
127	6501
128	6498
129	6596
130	6765
131	6698
132	6697
133	6555
134	6441
135	6514
136	6760
137	6598
138	6595
139	6734
140	6625
141	6622
142	6611
143	6719
144	6895
145	6644
146	6925
147	6942
148	6768
149	6735
150	6934
151	6733
152	6815
153	6915
154	6896
155	6916
156	7079
157	6982
158	6969
159	7267
160	7042
161	7149
162	7143
163	7163
164	7231
165	7450
166	7289
167	7345
168	7291
169	7381
170	7346
171	7345
172	7366
173	7455
174	7441
175	7709
176	7611
177	7622
178	7698
179	7540
180	7747
181	7932
182	7805
183	7867
184	7901
185	7883
186	7933
187	8143
188	8221
189	8095
190	8345
191	8186
