# Start time:    2026-07-23, 11:43:57
# Real time (s): 2100.010
# Live time (s): 2100.000
# Reactor power (MW): 1.000000
# Number of channels: 2048
# Channel width (usec): 2.000000
# Dead time (usec): 26.000000
# Number of frames: 419214
# Path length (cm): 191.500000
#
# Total counts:  5755169
# Chan. numb.	Numb. of counts
#-----------------------------------------------------------------------
1	0
2	0
3	2318
4	2538
5	2497
6	2408
7	2486
8	2522
9	2464
10	2447
11	2467
12	2480
13	2445
14	2385
15	2453
16	2479
17	2412
18	2518
19	2474
20	2455
21	2442
22	2457
23	2414
24	2436
25	2432
26	2483
27	2530
28	2466
29	2468
30	2431
31	2482
32	2501
33	2457
34	2501
35	2340
36	2432
37	2508
38	2463
39	2537
40	2505
41	2513
42	2413
43	2594
44	2508
45	2412
46	2466
47	2502
48	2460
49	2559
50	2447
51	2427
52	2511
53	2485
54	2392
55	2477
56	2488
57	2495
58	2427
59	2391
60	2439
61	2413
62	2501
63	2459
64	2489
65	2456
66	2418
67	2490
68	2491
69	2463
70	2453
71	2567
72	2476
73	2435
74	2504
75	2483
76	2508
77	2588
78	2501
79	2458
80	2426
81	2481
82	2426
83	2494
84	2479
85	2499
86	2495
87	2496
88	2436
89	2452
90	2433
91	2496
92	2444
93	2445
94	2424
95	2456
96	2547
97	2520
98	2347
99	2504
100	2542
101	2500
102	2455
103	2564
104	2472
105	2450
106	2478
107	2443
108	2469
109	2447
110	2536
111	2315
112	2423
113	2456
114	2532
115	2557
116	2461
117	2511
118	2568
119	2507
120	2448
121	2456
122	2529
123	2523
124	2465
125	2454
126	2465
127	2520
128	2581
129	2505
130	2468
131	2511
132	2464
133	2477
134	2580
135	2585
136	2494
137	2587
138	2492
139	2599
140	2556
141	2464
142	2535
143	2550
144	2530
145	2546
146	2462
147	2598
148	2539
149	2445
150	2572
151	2514
152	2481
153	2512
154	2470
155	2531
156	2528
157	2548
158	2528
159	2541
160	2546
161	2545
162	2611
163	2621
164	2532
165	2605
166	2548
167	2528
168	2564
169	2525
170	2646
171	2638
172	2550
173	2578
174	2571
175	2626
176	2591
177	2636
178	2604
179	2506
180	2598
181	2562
182	2580
183	2550
184	2580
185	2597
186	2637
187	2602
188	2603
189	2622
190	2693
191	2727
