# Start time:    2026-07-27, 11:26:04
# Real time (s): 1500.010
# Live time (s): 1500.000
# Reactor power (MW): 1.000000
# Number of channels: 2048
# Channel width (usec): 2.000000
# Dead time (usec): 26.000000
# Number of frames: 295934
# Path length (cm): 191.500000
#
# Total counts:  4477863
# Chan. numb.	Numb. of counts
#-----------------------------------------------------------------------
1	0
2	0
3	1925
4	1932
5	1925
6	1921
7	1856
8	1930
9	1977
10	1987
11	1920
12	1825
13	1898
14	1927
15	1997
16	1886
17	1879
18	1880
19	1999
20	1937
21	1968
22	1934
23	1927
24	1980
25	1894
26	1907
27	1896
28	1891
29	1946
30	2009
31	1940
32	1899
33	1982
34	1904
35	1938
36	1975
37	1905
38	1921
39	1933
40	1907
41	1871
42	1893
43	2023
44	1927
45	1930
46	1904
47	1938
48	1894
49	1892
50	1893
51	1953
52	1938
53	1893
54	1896
55	1898
56	1971
57	1922
58	2017
59	1922
60	1941
61	1942
62	1994
63	1922
64	1919
65	1957
66	1944
67	1973
68	1927
69	1885
70	1948
71	1966
72	2015
73	1921
74	1881
75	1913
76	1928
77	1882
78	1941
79	1975
80	1881
81	1953
82	1907
83	1944
84	1957
85	1930
86	1921
87	1896
88	1984
89	2004
90	2023
91	1977
92	1916
93	1889
94	1897
95	1987
96	1895
97	1959
98	1933
99	1964
100	1908
101	2010
102	1911
103	1987
104	1986
105	1954
106	1928
107	1941
108	1926
109	1927
110	2007
111	1997
112	1915
113	1947
114	1932
115	1892
116	1872
117	1999
118	1975
119	1964
120	1925
121	1939
122	1928
123	2071
124	1939
125	1956
126	1978
127	1923
128	1921
129	1998
130	1922
131	1922
132	1888
133	1927
134	2005
135	1960
136	2030
137	1995
138	1987
139	1902
140	1999
141	1905
142	1961
143	1942
144	1881
145	1990
146	2012
147	1988
148	1979
149	1979
150	1953
151	2016
152	2049
153	2042
154	1982
155	2008
156	2028
157	1981
158	2031
159	1962
160	1988
161	2023
162	1970
163	1943
164	2034
165	2037
166	1911
167	2019
168	2113
169	2041
170	1988
171	2018
172	2009
173	2099
174	2066
175	2038
176	1996
177	2044
178	2157
179	2023
180	2063
181	2032
182	1995
183	2033
184	2120
185	2037
186	2091
187	2077
188	2046
189	2156
190	2039
191	2132
